Individual,one_minus_r2,R2,Fitness,Generation,EvalIndex,Status
"[115.41213404736817, 32.92641152826122, 0.1608698361251624]",2.7941305495632993,-1.7941305495632993,2.7941305495632993,0,0,OK
"[154.84791620528085, 143.99944146497535, 0.14981222872230104]",999999.999,-inf,999999.999,0,1,ABAQUS_FAIL(code=0)
"[131.04969683326402, 117.94472714993762, 0.9432885516885083]",999999.999,-inf,999999.999,0,2,ABAQUS_FAIL(code=0)
"[87.79124746128898, 42.44843982497834, 0.8522749777588541]",4.535183961171588,-3.5351839611715876,4.535183961171588,0,3,OK
"[175.77379289269024, 97.3107407015082, 0.48313162862787745]",0.5089740493526059,0.49102595064739407,0.5089740493526059,0,4,OK
"[181.97836536897373, 79.82498166766224, 0.7048335328214765]",0.5577473844941483,0.4422526155058517,0.5577473844941483,0,5,OK
"[162.2917398904427, 104.01700114418742, 0.986576857697417]",999999.999,-inf,999999.999,0,6,ABAQUS_FAIL(code=0)
"[193.54410119743275, 44.67057098996119, 0.24900141256460945]",0.6791880839772186,0.32081191602278136,0.6791880839772186,0,7,OK
"[104.00004539139186, 93.60004085225268, 0.3915359170917137]",999999.999,-inf,999999.999,0,8,ABAQUS_FAIL(code=0)
"[71.17783710506906, 64.06005339456216, 0.2751051168694638]",999999.999,-inf,999999.999,0,9,ABAQUS_FAIL(code=0)
"[119.02623544697114, 88.67519877229995, 0.04599435699210112]",2.9256861949067168,-1.9256861949067168,2.9256861949067168,0,10,OK
"[50.96648604669705, 45.86983744202735, 0.761516821322861]",999999.999,-inf,999999.999,0,11,ABAQUS_FAIL(code=0)
"[190.57613895552058, 29.258331916523588, 0.5710216492500055]",0.42627242648859687,0.5737275735114031,0.42627242648859687,0,12,OK
"[166.59761307991522, 56.72738188936536, 0.4010148606254074]",0.4823762504164659,0.5176237495835341,0.4823762504164659,0,13,OK
"[83.17680957774378, 74.85912861996941, 0.5413280475152774]",999999.999,-inf,999999.999,0,14,ABAQUS_FAIL(code=0)
