Individual,one_minus_r2,R2,Fitness,Generation,EvalIndex,Status
"[143.92219737341745, 131.2770738793286, 0.0877057418623417]",999999.999,-inf,999999.999,0,0,ABAQUS_FAIL(code=0)
"[76.54315365654932, 74.87041125319277, 0.44528968740777874]",999999.999,-inf,999999.999,0,1,ABAQUS_FAIL(code=0)
"[62.982859647775356, 56.68457368299782, 0.8652158146538413]",999999.999,-inf,999999.999,0,2,ABAQUS_FAIL(code=0)
"[220.8619587208554, 116.96033632653649, 0.5384221964064664]",0.13443682924041556,0.8655631707595844,0.13443682924041556,0,3,OK
"[217.59989664058114, 143.97232453053172, 0.5612441321899396]",999999.999,-inf,999999.999,0,4,ABAQUS_FAIL(code=0)
"[84.57420281068661, 76.11678252961795, 0.009731381491282144]",1.5248602710219057,-0.5248602710219057,1.5248602710219057,0,5,OK
"[160.3976659745161, 127.71005101013662, 0.6034703437437692]",999999.999,-inf,999999.999,0,6,ABAQUS_FAIL(code=0)
"[95.21809204024049, 55.67278116217807, 0.48674543956859]",1.1919558860367176,-0.19195588603671765,1.1919558860367176,0,7,OK
"[232.32853168927568, 96.95795143045774, 0.2466418525761069]",0.19237873544156303,0.807621264558437,0.19237873544156303,0,8,OK
"[124.01214373884237, 65.79473949249788, 0.14932657249250128]",0.6320822859125714,0.36791771408742857,0.6320822859125714,0,9,OK
"[180.9816388993483, 57.21876431682032, 0.28474864645041065]",0.033337525192820516,0.9666624748071795,0.033337525192820516,0,10,OK
"[199.94190314654725, 106.29689470717615, 0.3053013662495034]",0.025835469608533557,0.9741645303914664,0.025835469608533557,0,11,OK
"[109.61270550215006, 32.04114039005431, 0.39943030738909874]",0.8897500582733999,0.11024994172660008,0.8897500582733999,0,12,OK
"[240.71334998836113, 121.12407325487145, 0.8432775558776431]",0.7407516923644393,0.2592483076355607,0.7407516923644393,0,13,OK
"[172.0857443837163, 45.30650298047975, 0.676596025108583]",0.07136110283250097,0.928638897167499,0.07136110283250097,0,14,OK
"[57.84844867956592, 52.063603811609326, 0.7975646412469144]",999999.999,-inf,999999.999,0,15,ABAQUS_FAIL(code=0)
"[206.33676056177833, 86.15421109889624, 0.9290869050508144]",0.14476050682647434,0.8552394931735257,0.14476050682647434,0,16,OK
"[130.3381371660662, 77.75722097016552, 0.1822913930585225]",0.5216290443775878,0.47837095562241216,0.5216290443775878,0,17,OK
"[116.54394052941358, 29.517818576635296, 0.7004499361236362]",0.7797980431978709,0.22020195680212906,0.7797980431978709,0,18,OK
"[153.33312795087522, 39.206400249713866, 0.9534040179669097]",0.21320946383926176,0.7867905361607382,0.21320946383926176,0,19,OK
"[131.85916506719394, 72.79500315219721, 0.5949240296079711]",0.4177936873159772,0.5822063126840228,0.4177936873159772,0,20,OK
"[218.73128096956063, 91.72901993633303, 0.919128016745809]",0.2215469675531495,0.7784530324468505,0.2215469675531495,0,21,OK
"[172.50324390337155, 112.06310083925615, 0.6734784646736821]",999999.999,-inf,999999.999,0,22,ABAQUS_FAIL(code=0)
"[248.05921557311225, 127.22544550339165, 0.30693437193776235]",0.38677450445355377,0.6132254955464462,0.38677450445355377,0,23,OK
"[164.4756158171827, 137.2025166856974, 0.04491292849046713]",0.11987818147580198,0.880121818524198,0.11987818147580198,0,24,OK
"[76.54315365654932, 74.87041125319277, 0.44528968740777874]",999999.999,-inf,999999.999,0,25,CACHE
"[237.7860786827941, 56.68457368299782, 0.8652158146538413]",0.28682903971218376,0.7131709602878162,0.28682903971218376,0,26,OK
"[50.55544250882019, 48.02767038337918, 0.5384221964064664]",999999.999,-inf,999999.999,0,27,ABAQUS_FAIL(code=0)
"[209.4825997739493, 136.6951115363742, 0.5601610276769899]",999999.999,-inf,999999.999,0,28,ABAQUS_FAIL(code=0)
"[97.3969544747491, 57.91227051539174, 0.038344230611408216]",1.2254765008003807,-0.22547650080038073,1.2254765008003807,0,29,OK
"[183.01592534039884, 132.7651740651338, 0.5852030782429292]",999999.999,-inf,999999.999,0,30,ABAQUS_FAIL(code=0)
"[110.18995418742989, 51.50878259563636, 0.64322626108104]",0.8788296375603473,0.12117036243965273,0.8788296375603473,0,31,OK
"[232.32853168927568, 101.42658952448762, 0.15536227294640403]",0.1688951043977147,0.8311048956022853,0.1688951043977147,0,32,OK
"[127.65719602253873, 64.24506801039315, 0.3591500790024125]",0.5716516653052776,0.42834833469472244,0.5716516653052776,0,33,OK
"[207.45172963128977, 96.70026271737393, 0.4990271331408087]",0.05186528938718793,0.9481347106128121,0.05186528938718793,0,34,OK
"[180.69428384765084, 61.20883846335086, 0.3053013662495034]",0.032061374306130985,0.967938625693869,0.032061374306130985,0,35,OK
"[89.17210459393293, 37.745615264788526, 0.47543650223046435]",1.4072087165911231,-0.4072087165911231,1.4072087165911231,0,36,OK
"[240.71334998836113, 116.69157050429273, 0.8432775558776431]",0.5863172471018072,0.4136827528981928,0.5863172471018072,0,37,OK
"[172.0857443837163, 28.740167768123975, 0.676596025108583]",0.06905192171302976,0.9309480782869702,0.06905192171302976,0,38,OK
"[206.33676056177833, 85.47258508973455, 0.9003293598442398]",0.1098168905834691,0.8901831094165309,0.1098168905834691,0,39,OK
"[116.54394052941358, 35.00575117190416, 0.9796444356077016]",0.6442596444481826,0.3557403555518174,0.6442596444481826,0,40,OK
"[153.33312795087522, 39.206400249713866, 0.7323097618563474]",0.2174229494659211,0.7825770505340789,0.2174229494659211,0,41,OK
"[126.37390138905754, 113.73651125015178, 0.33173966697695983]",999999.999,-inf,999999.999,1,42,ABAQUS_FAIL(code=0)
"[88.88367761231035, 78.34879228224075, 0.6358064701514958]",999999.999,-inf,999999.999,1,43,ABAQUS_FAIL(code=0)
"[246.27390945178675, 115.64369844585619, 0.0538994264316883]",0.15257999419065138,0.8474200058093486,0.15257999419065138,1,44,OK
"[97.14113293749188, 36.97248215521269, 0.8412237392208495]",0.972093018219055,0.027906981780944973,0.972093018219055,1,45,OK
"[180.69428384765084, 64.48370306243686, 0.46315709244184095]",0.03345406358166081,0.9665459364183392,0.03345406358166081,1,46,OK
"[207.45172963128977, 98.38637654502294, 0.4990271331408087]",0.052823797638205994,0.947176202361794,0.052823797638205994,1,47,OK
"[172.0857443837163, 87.86783181956892, 0.8945227394789149]",0.10531873391391322,0.8946812660860868,0.10531873391391322,1,48,OK
"[206.33676056177833, 27.58089688507397, 0.6823935701397043]",0.04331010496711418,0.9566898950328858,0.04331010496711418,1,49,OK
"[148.843751923949, 143.02955328241148, 0.06665678062438349]",999999.999,-inf,999999.999,1,50,ABAQUS_FAIL(code=0)
"[232.32853168927568, 101.41966251365926, 0.09580829388337103]",0.15195482782714587,0.8480451721728541,0.15195482782714587,1,51,OK
"[174.67885926352574, 39.206400249713866, 0.7323097618563474]",0.058551659333270334,0.9414483406667297,0.058551659333270334,1,52,OK
"[213.65377642356881, 91.72901993633303, 0.8899675469123055]",0.1770644889055779,0.8229355110944221,0.1770644889055779,1,53,OK
"[238.57184691214627, 118.10488681516344, 0.8652158146538413]",0.6992455962467476,0.30075440375325235,0.6992455962467476,1,54,OK
"[249.22534147358752, 59.239787582902274, 0.39265229821115705]",0.37852362327803335,0.6214763767219667,0.37852362327803335,1,55,OK
"[134.2432204341235, 77.91828515444536, 0.5949240296079711]",0.32741049125815025,0.6725895087418498,0.32741049125815025,1,56,OK
"[133.50925674845212, 64.35449475829073, 0.1822913930585225]",0.4724435851961992,0.5275564148038008,0.4724435851961992,1,57,OK
"[126.54649063734487, 57.28074787380107, 0.3808619274919959]",0.5891511636776895,0.4108488363223105,0.5891511636776895,1,58,OK
"[246.18837845735936, 123.65027285857693, 0.8214920117865258]",0.6963718304960296,0.3036281695039704,0.6963718304960296,1,59,OK
"[123.00051881564455, 50.51287160878244, 0.6883594321195949]",0.6558624779981871,0.3441375220018129,0.6558624779981871,1,60,OK
"[108.27566598254616, 32.472374798395606, 0.9786387574415757]",0.761637349740692,0.23836265025930803,0.761637349740692,1,61,OK
"[88.51277605962197, 43.94607276879296, 0.038344230611408216]",1.3624801981558576,-0.36248019815585764,1.3624801981558576,1,62,OK
"[76.45688786604386, 37.75817181754163, 0.47543650223046435]",1.7469112327783347,-0.7469112327783347,1.7469112327783347,1,63,OK
"[199.94190314654725, 106.29689470717615, 0.3053013662495034]",0.025835469608533557,0.9741645303914664,0.025835469608533557,1,64,CACHE
"[180.9816388993483, 59.663711498739026, 0.38550863079006026]",0.030589316748810713,0.9694106832511893,0.030589316748810713,1,65,OK
"[64.52478279127384, 53.431154821664485, 0.558348515755372]",999999.999,-inf,999999.999,2,66,ABAQUS_FAIL(code=0)
"[229.8093034032563, 57.93737941082315, 0.8462731726563776]",0.20367392116882443,0.7963260788311756,0.20367392116882443,2,67,OK
"[239.29768580660738, 95.45287983191669, 0.9398572877894225]",0.40264843615514034,0.5973515638448597,0.40264843615514034,2,68,OK
"[58.13998368590219, 52.32598531731197, 0.7065271938361116]",999999.999,-inf,999999.999,2,69,ABAQUS_FAIL(code=0)
"[197.37333789392446, 107.5154166384666, 0.3053013662495034]",0.022354596292637696,0.9776454037073623,0.022354596292637696,2,70,OK
"[183.5502041514471, 58.44528849887352, 0.38550863079006026]",0.024850975855301827,0.9751490241446982,0.024850975855301827,2,71,OK
"[166.62076769452247, 56.92785054202029, 0.4454855433477544]",0.10201344515163235,0.8979865548483676,0.10201344515163235,2,72,OK
"[206.33676056177833, 26.03028406144151, 0.6008348307885952]",0.04346388313730443,0.9565361168626956,0.04346388313730443,2,73,OK
"[209.6558983235731, 98.38637654502294, 0.49548484243163937]",0.060763077065958404,0.9392369229340416,0.060763077065958404,2,74,OK
"[174.67885926352574, 35.252305411360574, 0.8584688826796476]",0.05931839644256953,0.9406816035574305,0.05931839644256953,2,75,OK
"[230.4410535922083, 87.86783181956892, 0.9101993451873966]",0.21546459176131405,0.784535408238686,0.21546459176131405,2,76,OK
"[173.96521089378746, 101.41966251365926, 0.09580829388337103]",0.07753565548796781,0.9224643445120322,0.07753565548796781,2,77,OK
"[246.27390945178675, 112.0389623279608, 0.0538994264316883]",0.15918767618683483,0.8408123238131652,0.15918767618683483,2,78,OK
"[247.5070095776267, 77.91828515444536, 0.5998024969087304]",0.39338743888447825,0.6066125611155218,0.39338743888447825,2,79,OK
"[132.64855997103382, 59.239787582902274, 0.38777383098270646]",0.4892902538454754,0.5107097461545246,0.4892902538454754,2,80,OK
