t_s	opening_displacement_mm
0.0000014200	-0.0071763932
0.0000016428	-0.0070411007
0.0000018656	-0.0069057990
0.0000020884	-0.0067704792
0.0000023111	-0.0066351322
0.0000025339	-0.0064997488
0.0000027567	-0.0063643200
0.0000029795	-0.0062288366
0.0000032023	-0.0060932897
0.0000034251	-0.0059576701
0.0000036479	-0.0058219687
0.0000038707	-0.0056861764
0.0000040934	-0.0055502842
0.0000043162	-0.0054142830
0.0000045390	-0.0052781637
0.0000047618	-0.0051419172
0.0000049846	-0.0050055344
0.0000052074	-0.0048690063
0.0000054302	-0.0047323236
0.0000056529	-0.0045954775
0.0000058757	-0.0044584587
0.0000060985	-0.0043212582
0.0000063213	-0.0041838670
0.0000065441	-0.0040462758
0.0000067669	-0.0039084757
0.0000069897	-0.0037704575
0.0000072124	-0.0036322122
0.0000074352	-0.0034937307
0.0000076580	-0.0033550039
0.0000078808	-0.0032160226
0.0000081036	-0.0030767779
0.0000083264	-0.0029372607
0.0000085492	-0.0027974618
0.0000087720	-0.0026573721
0.0000089947	-0.0025169827
0.0000092175	-0.0023762843
0.0000094403	-0.0022352680
0.0000096631	-0.0020939245
0.0000098859	-0.0019522449
0.0000101087	-0.0018102201
0.0000103315	-0.0016678409
0.0000105542	-0.0015250984
0.0000107770	-0.0013819833
0.0000109998	-0.0012384866
0.0000112226	-0.0010945993
0.0000114454	-0.0009503122
0.0000116682	-0.0008056162
0.0000118910	-0.0006605024
0.0000121137	-0.0005149615
0.0000123365	-0.0003689845
0.0000125593	-0.0002225623
0.0000127821	-0.0000756859
0.0000130049	0.0000716539
0.0000132277	0.0002194662
0.0000134505	0.0003677599
0.0000136733	0.0005165443
0.0000138960	0.0006658284
0.0000141188	0.0008156212
0.0000143416	0.0009659320
0.0000145644	0.0011167696
0.0000147872	0.0012681434
0.0000150100	0.0014200622
0.0000152328	0.0015725353
0.0000154555	0.0017255716
0.0000156783	0.0018791803
0.0000159011	0.0020333705
0.0000161239	0.0021881513
0.0000163467	0.0023435317
0.0000165695	0.0024995208
0.0000167923	0.0026561277
0.0000170150	0.0028133615
0.0000172378	0.0029712313
0.0000174606	0.0031297461
0.0000176834	0.0032889151
0.0000179062	0.0034487473
0.0000181290	0.0036092519
0.0000183518	0.0037704379
0.0000185746	0.0039323143
0.0000187973	0.0040948903
0.0000190201	0.0042581750
0.0000192429	0.0044221775
0.0000194657	0.0045869067
0.0000196885	0.0047523719
0.0000199113	0.0049185821
0.0000201341	0.0050855464
0.0000203568	0.0052532738
0.0000205796	0.0054217736
0.0000208024	0.0055910546
0.0000210252	0.0057611261
0.0000212480	0.0059319971
0.0000214708	0.0061036767
0.0000216936	0.0062761740
0.0000219163	0.0064494981
0.0000221391	0.0066236580
0.0000223619	0.0067986629
0.0000225847	0.0069745218
0.0000228075	0.0071512438
0.0000230303	0.0073288380
0.0000232531	0.0075073135
0.0000234759	0.0076866793
0.0000236986	0.0078669446
0.0000239214	0.0080481185
0.0000241442	0.0082302100
0.0000243670	0.0084132282
0.0000245898	0.0085971822
0.0000248126	0.0087820810
0.0000250354	0.0089679339
0.0000252581	0.0091547498
0.0000254809	0.0093425378
0.0000257037	0.0095313071
0.0000259265	0.0097210666
0.0000261493	0.0099118256
0.0000263721	0.0101035930
0.0000265949	0.0102963781
0.0000268176	0.0104901897
0.0000270404	0.0106850371
0.0000272632	0.0108809293
0.0000274860	0.0110778755
0.0000277088	0.0112758846
0.0000279316	0.0114749658
0.0000281544	0.0116751281
0.0000283772	0.0118763808
0.0000285999	0.0120787327
0.0000288227	0.0122821931
0.0000290455	0.0124867709
0.0000292683	0.0126924754
0.0000294911	0.0128993155
0.0000297139	0.0131073004
0.0000299367	0.0133164392
0.0000301594	0.0135267408
0.0000303822	0.0137382145
0.0000306050	0.0139508693
0.0000308278	0.0141647143
0.0000310506	0.0143797586
0.0000312734	0.0145960112
0.0000314962	0.0148134813
0.0000317189	0.0150321779
0.0000319417	0.0152521101
0.0000321645	0.0154732870
0.0000323873	0.0156957177
0.0000326101	0.0159194112
0.0000328329	0.0161443768
0.0000330557	0.0163706233
0.0000332785	0.0165981600
0.0000335012	0.0168269959
0.0000337240	0.0170571402
0.0000339468	0.0172886017
0.0000341696	0.0175213898
0.0000343924	0.0177555134
0.0000346152	0.0179909817
0.0000348380	0.0182278037
0.0000350607	0.0184659885
0.0000352835	0.0187055452
0.0000355063	0.0189464828
0.0000357291	0.0191888106
0.0000359519	0.0194325375
0.0000361747	0.0196776726
0.0000363975	0.0199242251
0.0000366203	0.0201722039
0.0000368430	0.0204216183
